oid,timestamp,x,y,body_roll,body_pitch,body_yaw,head_roll,head_pitch,head_yaw,other_oid,other_class,other_x,other_y
50187,1842.4,495854.640309584,5405750.91234782,None,None,None,None,None,None,"[47646, 50181, 50184, 50187]","[0, 4, 4, 4]","[495923.373133135, 495899.069769386, 495899.056786096, 495854.640309584]","[5405744.32136751, 5405738.47595118, 5405739.18984693, 5405750.91234782]"
50187,1842.5,495854.792078353,5405750.93930797,None,None,None,None,None,None,"[50181, 50187, 50184, 47646]","[4, 4, 4, 0]","[495899.234566716, 495854.792078353, 495899.224798791, 495922.569930677]","[5405738.39126416, 5405750.93930797, 5405739.20502755, 5405744.42285387]"
50187,1842.6,495854.943847121,5405750.96626812,None,None,None,None,None,None,"[47646, 50187, 50184, 50181]","[0, 4, 4, 4]","[495921.779445452, 495854.943847121, 495899.357695912, 495899.399364046]","[5405744.51929698, 5405750.96626812, 5405739.15318381, 5405738.30657713]"
50187,1842.7,495855.09561589,5405750.99322827,None,None,None,None,None,None,"[50187, 47646, 50184, 50181]","[4, 0, 4, 4]","[495855.09561589, 495920.943052671, 495899.490593033, 495899.564161375]","[5405750.99322827, 5405744.63008031, 5405739.10134006, 5405738.22189011]"
50187,1842.8,495855.256935427,5405751.02150176,None,None,None,None,None,None,"[50187, 50184, 50181, 47646]","[4, 4, 4, 0]","[495855.256935427, 495899.585908147, 495899.720312982, 495920.115044655]","[5405751.02150176, 5405739.0332702, 5405738.08456954, 5405744.73152952]"
50187,1842.9,495855.43789091,5405751.05247544,None,None,None,None,None,None,"[50187, 50184, 50181, 47646]","[4, 4, 4, 0]","[495855.43789091, 495899.690271544, 495899.841231486, 495919.287198161]","[5405751.05247544, 5405738.97456228, 5405737.96774115, 5405744.83668128]"
50187,1843.0,495855.618846394,5405751.08344911,None,None,None,None,None,None,"[47646, 50184, 50181, 50187]","[0, 4, 4, 4]","[495918.500605338, 495899.860346439, 495899.923277595, 495855.618846394]","[5405744.93294628, 5405738.96983389, 5405737.9969292, 5405751.08344911]"
50187,1843.1,495855.799801878,5405751.11442278,None,None,None,None,None,None,"[50181, 50184, 50187, 47646]","[4, 4, 4, 0]","[495900.031944587, 495900.017717756, 495855.799801878, 495917.726023053]","[5405738.00513848, 5405738.97448397, 5405751.11442278, 5405745.02129723]"
50187,1843.2,495855.963615237,5405751.15608379,None,None,None,None,None,None,"[50184, 50187, 47646, 50181]","[4, 4, 0, 4]","[495900.200273264, 495855.963615237, 495916.905320221, 495900.187074121]","[5405738.96255163, 5405751.15608379, 5405745.12332998, 5405738.00668695]"
50187,1843.3,495856.087374093,5405751.19754694,None,None,None,None,None,None,"[47646, 50181, 50184, 50187]","[0, 4, 4, 4]","[495916.09265434, 495900.333131012, 495900.340602185, 495856.087374093]","[5405745.21860418, 5405738.01123903, 5405738.93643321, 5405751.19754694]"
50187,1843.4,495856.218452824,5405751.20206761,None,None,None,None,None,None,"[50184, 50181, 47646, 50187]","[4, 4, 0, 4]","[495900.556512134, 495900.483323057, 495915.358131355, 495856.218452824]","[5405738.97560136, 5405738.0660023, 5405745.29301577, 5405751.20206761]"
50187,1843.5,495856.377385013,5405751.22906261,None,None,None,None,None,None,"[50181, 47646, 50187, 50184]","[4, 0, 4, 4]","[495900.638999831, 495914.547117211, 495856.377385013, 495900.718059284]","[5405738.09532797, 5405745.38167626, 5405751.22906261, 5405738.98270077]"
50187,1843.6,495856.522960029,5405751.24244159,None,None,None,None,None,None,"[47646, 50181, 50184, 50187]","[0, 4, 4, 4]","[495913.739526825, 495900.788119692, 495900.860279648, 495856.522960029]","[5405745.46706388, 5405737.99526647, 5405738.97571736, 5405751.24244159]"
50187,1843.7,495856.653782178,5405751.26532871,None,None,None,None,None,None,"[47646, 50181, 50187, 50184]","[0, 4, 4, 4]","[495912.934852234, 495900.929406363, 495856.653782178, 495900.971598208]","[5405745.55150153, 5405737.92876584, 5405751.26532871, 5405738.96406803]"
50187,1843.8,495856.782019788,5405751.28254236,None,None,None,None,None,None,"[47646, 50187, 50184, 50181]","[0, 4, 4, 4]","[495912.149918472, 495856.782019788, 495901.041677476, 495901.044876676]","[5405745.6255365, 5405751.28254236, 5405738.9242974, 5405737.89567927]"
50187,1843.9,495856.908077501,5405751.27983736,None,None,None,None,None,None,"[50181, 50184, 50187, 47646]","[4, 4, 4, 0]","[495901.148715674, 495901.202459729, 495856.908077501, 495911.401788502]","[5405737.88010354, 5405738.96340089, 5405751.27983736, 5405745.69351852]"
50187,1844.0,495857.040175361,5405751.26076352,3.2,0.0,172.8,0.0,5.0,162.0,"[50181, 50187, 50184, 47646]","[4, 4, 4, 0]","[495901.261691607, 495857.040175361, 495901.361141703, 495910.598943528]","[5405737.81230427, 5405751.26076352, 5405739.00511596, 5405745.76474732]"
50187,1844.1,495857.165565867,5405751.24042384,None,None,None,None,None,None,"[50181, 50187, 50184, 47646]","[4, 4, 4, 0]","[495901.353373004, 495857.165565867, 495901.460471275, 495909.805019256]","[5405737.77127967, 5405751.24042384, 5405738.9691776, 5405745.83148069]"
50187,1844.2,495857.29096426,5405751.22697812,0.0,0.0,166.307,0.0,0.0,166.466,"[50187, 50184, 50181, 47646]","[4, 4, 4, 0]","[495857.29096426, 495901.501487974, 495901.459571099, 495909.002296291]","[5405751.22697812, 5405738.82060902, 5405737.78601073, 5405745.89494177]"
50187,1844.3,495857.416382126,5405751.23055623,None,None,None,None,None,None,"[50187, 47646, 50181, 50184]","[4, 0, 4, 4]","[495857.416382126, 495908.213779154, 495901.565452215, 495901.572306652]","[5405751.23055623, 5405745.96029539, 5405737.81386825, 5405738.68051859]"
50187,1844.4,495857.541799992,5405751.23413435,None,None,None,None,None,None,"[50181, 47646, 50184, 50187]","[4, 0, 4, 4]","[495901.671240468, 495907.466918884, 495901.725064904, 495857.541799992]","[5405737.8538028, 5405746.01146524, 5405738.84654817, 5405751.23413435]"
50187,1844.5,495857.667217857,5405751.23771246,None,None,None,None,None,None,"[50187, 50184, 50181, 47646]","[4, 4, 4, 0]","[495857.667217857, 495901.870673334, 495901.774575488, 495906.662786735]","[5405751.23771246, 5405738.98509947, 5405737.88394238, 5405746.06753845]"
50187,1844.6,495857.792635723,5405751.24129057,None,None,None,None,None,None,"[50181, 47646, 50187, 50184]","[4, 0, 4, 4]","[495901.895897849, 495905.850199664, 495857.792635723, 495902.008709312]","[5405737.90837747, 5405746.12114621, 5405751.24129057, 5405739.11823662]"
50187,1844.7,495857.918053589,5405751.24486868,None,None,None,None,None,None,"[50184, 47646, 50187, 50181]","[4, 0, 4, 4]","[495902.150995134, 495905.050283734, 495857.918053589, 495902.040126322]","[5405739.23413013, 5405746.16712182, 5405751.24486868, 5405737.91429959]"
50187,1844.8,495858.043471455,5405751.24844679,None,None,None,None,None,None,"[50184, 50187, 47646, 50181]","[4, 4, 0, 4]","[495902.280809901, 495858.043471455, 495904.309995173, 495902.151664346]","[5405739.32106479, 5405751.24844679, 5405746.20834558, 5405737.97832262]"
50187,1844.9,495858.168889321,5405751.25202491,None,None,None,None,None,None,"[47646, 50181, 50187, 50184]","[0, 4, 4, 4]","[495903.507569092, 495902.231227896, 495858.168889321, 495902.389535263]","[5405746.25527635, 5405738.11745475, 5405751.25202491, 5405739.38060792]"
50187,1845.0,495858.284963893,5405751.2624502,0.0,0.0,166.4,0.0,0.0,152.8,"[50187, 50184, 47646, 50181]","[4, 4, 0, 4]","[495858.284963893, 495902.491296849, 495902.701320377, 495902.310791446]","[5405751.2624502, 5405739.41898057, 5405746.29361143, 5405738.25658689]"
50187,1845.1,495858.374762547,5405751.29213164,None,None,None,None,None,None,"[50184, 50181, 47646, 50187]","[4, 4, 0, 4]","[495902.583607621, 495902.38717889, 495901.888899778, 495858.374762547]","[5405739.43508888, 5405738.4216269, 5405746.32900824, 5405751.29213164]"
50187,1845.2,495858.474854401,5405751.30983946,0.0,0.0,176.266,0.0,0.0,181.245,"[50184, 50181, 47646, 50187]","[4, 4, 0, 4]","[495902.669800985, 495902.466056588, 495901.11306285, 495858.474854401]","[5405739.43775846, 5405738.56304889, 5405746.35964917, 5405751.30983946]"
50187,1845.3,495858.583247272,5405751.28867406,0.0,0.0,178.4,0.0,0.0,195.91,"[50181, 47646, 50187, 50184]","[4, 0, 4, 4]","[495902.556650606, 495900.350112005, 495858.583247272, 495902.766590221]","[5405738.64087316, 5405746.38708841, 5405751.28867406, 5405739.43352314]"
